state,x,y
Andhra Pradesh,-61.0,-179.0
Arunachal Pradesh,230.0,110.0
Assam,204.0,65.0
Bihar,72.0,40.0
Chhattisgarh,-5.0,-27.0
Goa,-158.0,-163.0
Gujarat,-205.0,-16.0
Haryana,-115.0,121.0
Himachal Pradesh,-98.0,187.0
Jharkhand,54.0,9.0
Karnataka,-125.0,-185.0
Kerala,-112.0,-265.0
Madhya Pradesh,-74.0,-1.0
Maharashtra,-144.0,-74.0
Manipur,221.0,25.0
Meghalaya,175.0,45.0
Mizoram,199.0,-6.0
Nagaland,233.0,53.0
Odisha,28.0,-52.0
Punjab,-144.0,155.0
Rajasthan,-177.0,76.0
Sikkim,115.0,87.0
Tamil Nadu,-73.0,-251.0
Telangana,-58.0,-112.0
Tripura,177.0,8.0
Uttar Pradesh,-33.0,66.0
Uttarakhand,-58.0,140.0
West Bengal,104.0,-8.0
Andaman and Nicobar Islands,194.0,-256.0
Chandigarh,-107.0,159.0
DNHDD,-180.0,-63.0
Delhi,-101.0,111.0
Jammu and Kashmir,-169.0,233.0
Lakshadweep,-177.0,-301.0
Puducherry,-50.0,-231.0
Ladakh,-89.0,245.0
