Name,Capital,State_UT
Andhra Pradesh,Hyderabad (Proposed Capital Amaravati),State
Arunachal Pradesh,Itanagar,State
Assam,Dispur,State
Bihar,Patna,State
Chhattisgarh,Raipur,State
Goa,Panaji,State
Gujarat,Gandhinagar,State
Haryana,Chandigarh,State
Himachal Pradesh,Shimla,State
Jharkhand,Ranchi,State
Karnataka,Bengaluru (formerly Bangalore),State
Kerala,Thiruvananthapuram,State
Madhya Pradesh,Bhopal,State
Maharashtra,Mumbai,State
Manipur,Imphal,State
Meghalaya,Shillong,State
Mizoram,Aizawl,State
Nagaland,Kohima,State
Odisha,Bhubaneswar,State
Punjab,Chandigarh,State
Rajasthan,Jaipur,State
Sikkim,Gangtok,State
Tamil Nadu,Chennai,State
Telangana,Hyderabad,State
Tripura,Agartala,State
Uttar Pradesh,Lucknow,State
Uttarakhand,"Dehradun (Winter)
Gairsain (Summer)",State
West Bengal,Kolkata,State
Andaman and Nicobar Islands,Port Blair,UT
Chandigarh,Chandigarh,UT
Dadra & Nagar Haveli and Daman & Diu,Daman,UT
Delhi,New Delhi,UT
Jammu and Kashmir,"Srinagar (Summer)
Jammu (Winter)",UT
Lakshadweep,Kavaratti,UT
Puducherry,Pondicherry,UT
Ladakh,Leh,UT
